Professor,Meeting 1,Meeting 2,Meeting 3,Meeting 4,Meeting 5
Olvera,TRUE,FALSE,FALSE,FALSE,FALSE
Gianneschi,TRUE,TRUE,TRUE,TRUE,FALSE
Barnett,TRUE,TRUE,FALSE,FALSE,FALSE
Bedzyk,TRUE,TRUE,TRUE,TRUE,FALSE
Rondinelli,TRUE,TRUE,FALSE,FALSE,FALSE
McCue,TRUE,TRUE,TRUE,TRUE,TRUE
Chazot,TRUE,TRUE,TRUE,TRUE,TRUE
Amanda,TRUE,TRUE,TRUE,TRUE,TRUE
Voorhees,TRUE,TRUE,TRUE,TRUE,TRUE
Dunand,TRUE,TRUE,TRUE,TRUE,TRUE
Joester,TRUE,FALSE,FALSE,FALSE,FALSE
Stupp,TRUE,TRUE,FALSE,FALSE,FALSE
Wolverton,TRUE,FALSE,FALSE,FALSE,TRUE
Truby,FALSE,TRUE,TRUE,TRUE,TRUE
Rivnay,FALSE,TRUE,TRUE,TRUE,TRUE
Mirkin,FALSE,TRUE,FALSE,FALSE,FALSE
McCue,TRUE,TRUE,TRUE,TRUE,TRUE
Lauhon,FALSE,TRUE,TRUE,TRUE,TRUE
T. Marks,FALSE,FALSE,TRUE,TRUE,TRUE
Haile,FALSE,FALSE,FALSE,TRUE,TRUE
Jian Cao,FALSE,FALSE,FALSE,TRUE,TRUE
